Title	URL	Assignees	Status	Estimated size	Real size
Upload Appointment and Worker Data	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/1		Product Backlog		
Worker Qualification & Multi-Worker Job Handling	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/2		Product Backlog		
Route Optimization System	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/3		Product Backlog		
View Daily Plan (All Workers)	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/4		Product Backlog		
Visualize Worker Routes on Google Maps	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/5		Product Backlog		
View Individual Worker Plan	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/6		Product Backlog		
Switch Between  Optimization Plans	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/7		Product Backlog		
Save & Load Scenarios from JSON	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/8		Product Backlog		
Decide on the Number and Type of Optimization Plans	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/9		Product Backlog		
UI Screen Design	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/10		Product Backlog		
Implement Frontend UI	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/11		Product Backlog		
Receive Worker & Appointment Data and Sample UI Designs from Andi	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/12	dkarkani	Product Backlog		
