Title	URL	Assignees	Status	Estimated size	Real size
Include Time Window Constraint from Vehicles	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/149		Product Backlog		
Create Dummy Data & Write Script for Test Data	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/150		Product Backlog		
Time Google OR Takes to Solve More Appointments	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/151		Product Backlog		
Benchmark Distance Matrix Time on Large Datasets	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/152		Product Backlog		
Improve Post-Validation to Include Service Time and Parameters	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/153		Product Backlog		
Implement Valid Starting Time Logic	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/154		Product Backlog		
Update Solver for Higher Appointment Capacity	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/155		Product Backlog		
Calculate Waiting Time in Post Processing	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/156		Product Backlog		
Add Month Support to Calendar View	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/157		Product Backlog		
Add Button to Daily Plan and Worker Plan from Map View	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/158		Product Backlog		
Set Up Docker for Caching	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/159		Product Backlog		
Include Skills in Optimization Logic	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/160		Product Backlog		
Allow User to Configure Service Time per Appointment (With Default Fallback)	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/129		Product Backlog		
Enable Manual Route Editing from the Frontend	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/103		Product Backlog		
Convert Optimization Output to JSON	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/31		Product Backlog		
Switch Between  Optimization Plans	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/7		Product Backlog	5	
Implement Caching Strategy for Distance Matrix	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/101		Product Backlog		
Display and Export Individual Worker Plans	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/128		Product Backlog		
Display Daily Plan & Worker Plan as a List/Table with Export Option	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/127	jkleinau, SK-Subroto	In Progress	8	
Perform Load Testing 	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/144	fahimu10	In Progress	3	
Validate Constraint Compliance in Solver Output (Post Google OR-Tools): First Draft 	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/119	fahimu10	In Progress	5	
Prepare Mid-Term Release Demo Data	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/142	SUFelix	Awaiting Review	3	
Create Space and Distinguish between Service Time and  Appointment Time in Backend	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/131	SUFelix	Awaiting Review	5	
Implement Frontend Visualization for Information Raised in Preprocessing	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/126	fariarahman15, SK-Subroto	Awaiting Review	5	
Connect “Start Optimization” Button to Backend Optimization Trigger	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/107	fariarahman15, jkleinau	Awaiting Review	3	
Update Project Documentation (Ongoing)	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/81	SK-Subroto	Awaiting Review	3	
Integrate Solver API Output to Frontend for Route Visualization	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/130	SK-Subroto	Awaiting Review	8	
Prepare Application for Deployment in Industry Partner's AWS Environment (Backend)	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/80	fahimu10	Feature Archive	8	13
Project Optimized Routes on the Map View	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/102	jkleinau, SK-Subroto	Feature Archive	8	8
