Title	URL	Assignees	Status	Estimated size	Real size	Labels
Enhance Vehicle Configuration on Day Level	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/273		Product Backlog			backend, frontend
Implement Penalty Mechanism to Ensure Equal Load Distribution	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/274		Product Backlog			backend
Apply Multithreaded Geocoding to Geocoding API	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/265		Product Backlog			backend
Create Test Data for Demo Day	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/266		Product Backlog			backend
Address Removal After Verification Failure Does Not Trigger Re-Verification	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/267		Product Backlog			frontend
Back Button from Map View Redirects to Calendar View Instead of Week View	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/269		Product Backlog			frontend
Update & Finalize documentation	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/271		Product Backlog			backend, frontend
Inconsistent UI Design Across Pages	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/272		Product Backlog			frontend
Rewrite Route Metrics Calculation to Be Accurate and Integrated	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/207	SUFelix	Product Backlog	3		backend
Compare New Solutions to Previous Ones	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/236		Product Backlog			backend, frontend
Allow Users to Correct Invalid Appointment Addresses in the UI	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/231		Product Backlog			frontend
Show Skipped Appointments in Route Metrics Solution	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/245		Product Backlog			frontend
Enable Manual Route Editing from the Frontend	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/103		Product Backlog			frontend
Calculate Route level Profits or Costs or Margins	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/256		Product Backlog			
Time Google OR Takes to Solve More Appointments	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/151		Product Backlog			
Benchmark Distance Matrix Time on Large Datasets	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/152		Product Backlog			
Update Solver for Higher Appointment Capacity	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/155		Product Backlog			
Have Time Strings instead of TimeStamps	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/172		Product Backlog			
Allow User to Configure Service Time per Appointment (With Default Fallback)	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/129		Product Backlog			
Convert Optimization Output to JSON	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/31		Product Backlog			
Switch Between  Optimization Plans	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/7		Product Backlog	5		
Exclude portion of waiting time from cost to accomodate breaks --> possible ghost appointments for breaks	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/246	jkleinau	Sprint Backlog	8		backend, frontend
Multi-Day Selection Uses Incorrect Company Info	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/270	SK-Subroto	In Progress	3		frontend
Implement Testdata endpoint into frontend to directly populate it	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/254	SK-Subroto	Awaiting Review	5		frontend
Implement Hover Effect on Buttons	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/234	fariarahman15, SK-Subroto	Awaiting Review	3		frontend
Implement Multithreading in API Calling	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/268	fahimu10	Awaiting Review	5		backend
Add “Number of Impossible Appointments” to Validation Report	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/204	fahimu10	Awaiting Review	5		backend
Lunch Break UI Handling	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/259	fariarahman15	Awaiting Review	5		frontend
Distinguish Between Appointments and Depots in Validation Report	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/206	SUFelix	Awaiting Review	3		backend
Fixing the Validation report	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/257	SUFelix	Awaiting Review	5		backend
Include Depot Departure/Return Time in Route	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/205	SUFelix	Feature Archive	3	3	backend
 Integrate Metric Logic into Solver	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/220	fahimu10	Feature Archive	5	5	backend
Add Cost Metrics to Data Structure	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/228	fahimu10	Feature Archive	3	2	backend
Enhance Multi-Day selection feature 	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/230	SK-Subroto	Feature Archive	5	5	frontend
Add Option to Exclude Vehicles	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/235	jkleinau	Feature Archive	5	5	frontend
Back Button in Map View Defaults to Current Month	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/232	fariarahman15	Feature Archive	2	2	frontend
Update Save Button in Company Configuration Page	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/238	fariarahman15	Feature Archive	2	2	frontend
Show Optimization details on Multi day selection page 	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/215	fariarahman15, SK-Subroto	Feature Archive	8	8	frontend
Set Up Docker for Caching	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/159	fahimu10	Feature Archive	5	5	backend
Implement Logic for Multiple Depots in the Solver	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/195	SUFelix	Feature Archive	5	13	backend
Implement Multiple Workers  to One vehicle Logic in Solver	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/197	SUFelix	Feature Archive	3	2	backend
Implement Caching for Distance Matrix	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/183	fahimu10	Feature Archive	8	8	backend
Map Vehicle IDs Between Input and Output	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/203	jkleinau	Feature Archive	3	3	backend
Add More Configuration Parameters to Company Info Page	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/185	jkleinau	Feature Archive	5	5	frontend
Show Map view redirect button from Daily Plan View	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/219	fariarahman15	Feature Archive	2	2	frontend
Pass Skill Constraint Data to Optimization Logic	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/160	SUFelix	Feature Archive	3	5	backend
 Vehicle Time Windows – Adjust Data Structure and Pass Data 	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/149	jkleinau, SUFelix	Feature Archive	3	3	backend
Implementing UI Changes for Multiple Depots	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/196	jkleinau	Feature Archive	5	5	frontend
Unify Design of Calendar View with the Rest of the UI	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/194	fariarahman15	Feature Archive	3	3	frontend
Create Button to Navigate from Map View to Daily Plan View and Back and Also from Upload page to Calendar View	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/193	fariarahman15	Feature Archive	2	3	frontend
Allow Multi-Day Selection for Optimization	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/184	SK-Subroto	Feature Archive	8	8	frontend
Write Script for Dummy Test Data Creation	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/150	SUFelix	Feature Archive	5	5	backend
Add Route Metrics To  Data Structure : Backend	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/178	fahimu10	Feature Archive	3	3	backend
Calculate Waiting Time in Post Processing	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/156	fahimu10	Feature Archive	5	5	backend
Create Company Info Configuration page	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/174	jkleinau	Feature Archive	8	8	frontend
